admission_id,case_id,candidate_category,negative_control,negative_control_type,target_split,admission_state,source_urls,gold_status
ADMIT-RADAR-V02-073,RADAR-V02-073,ci_infrastructure_failure,true,worker_crash,validation,planned,,not_admitted
ADMIT-RADAR-V02-074,RADAR-V02-074,ci_infrastructure_failure,true,random_timeout,validation,planned,,not_admitted
ADMIT-RADAR-V02-075,RADAR-V02-075,ci_infrastructure_failure,true,known_flaky,validation,planned,,not_admitted
ADMIT-RADAR-V02-076,RADAR-V02-076,flaky_nondeterministic,true,baseline_broken,validation,planned,,not_admitted
ADMIT-RADAR-V02-077,RADAR-V02-077,flaky_nondeterministic,true,resolver_drift,validation,planned,,not_admitted
ADMIT-RADAR-V02-078,RADAR-V02-078,flaky_nondeterministic,true,platform_infrastructure,validation,planned,,not_admitted
ADMIT-RADAR-V02-079,RADAR-V02-079,flaky_nondeterministic,true,expired_certificate,validation,planned,,not_admitted
ADMIT-RADAR-V02-080,RADAR-V02-080,flaky_nondeterministic,true,fixture_disappearance,validation,planned,,not_admitted
ADMIT-RADAR-V02-081,RADAR-V02-081,flaky_nondeterministic,true,incorrect_xfail,validation,planned,,not_admitted
ADMIT-RADAR-V02-082,RADAR-V02-082,flaky_nondeterministic,true,dead_external_url,validation,planned,,not_admitted
ADMIT-RADAR-V02-083,RADAR-V02-083,flaky_nondeterministic,true,github_outage,validation,planned,,not_admitted
ADMIT-RADAR-V02-084,RADAR-V02-084,flaky_nondeterministic,true,wheel_missing,validation,planned,,not_admitted
ADMIT-RADAR-V02-085,RADAR-V02-085,flaky_nondeterministic,true,dns_failure,validation,planned,,not_admitted
ADMIT-RADAR-V02-086,RADAR-V02-086,expected_breaking_change,true,worker_crash,hidden_test,planned,,not_admitted
ADMIT-RADAR-V02-087,RADAR-V02-087,expected_breaking_change,true,random_timeout,hidden_test,planned,,not_admitted
ADMIT-RADAR-V02-088,RADAR-V02-088,expected_breaking_change,true,known_flaky,hidden_test,planned,,not_admitted
ADMIT-RADAR-V02-089,RADAR-V02-089,expected_breaking_change,true,baseline_broken,hidden_test,planned,,not_admitted
ADMIT-RADAR-V02-090,RADAR-V02-090,expected_breaking_change,true,resolver_drift,hidden_test,planned,,not_admitted
ADMIT-RADAR-V02-091,RADAR-V02-091,ambiguous_inconclusive,true,platform_infrastructure,hidden_test,planned,,not_admitted
ADMIT-RADAR-V02-092,RADAR-V02-092,ambiguous_inconclusive,true,expired_certificate,hidden_test,planned,,not_admitted
ADMIT-RADAR-V02-093,RADAR-V02-093,ambiguous_inconclusive,true,fixture_disappearance,hidden_test,planned,,not_admitted
ADMIT-RADAR-V02-094,RADAR-V02-094,ambiguous_inconclusive,true,incorrect_xfail,hidden_test,planned,,not_admitted
ADMIT-RADAR-V02-095,RADAR-V02-095,ambiguous_inconclusive,true,dead_external_url,hidden_test,planned,,not_admitted
ADMIT-RADAR-V02-096,RADAR-V02-096,ambiguous_inconclusive,true,github_outage,hidden_test,planned,,not_admitted
ADMIT-RADAR-V02-097,RADAR-V02-097,ambiguous_inconclusive,true,wheel_missing,hidden_test,planned,,not_admitted
ADMIT-RADAR-V02-098,RADAR-V02-098,ambiguous_inconclusive,true,dns_failure,hidden_test,planned,,not_admitted
ADMIT-RADAR-V02-099,RADAR-V02-099,ambiguous_inconclusive,true,worker_crash,hidden_test,planned,,not_admitted
ADMIT-RADAR-V02-100,RADAR-V02-100,ambiguous_inconclusive,true,random_timeout,hidden_test,planned,,not_admitted
