case_id,candidate_category,difficulty,admission_state,counterfactual
RADAR-V03-SAF-1052,flaky_nondeterministic,D2,planned,false
RADAR-V03-SAF-1053,flaky_nondeterministic,D3,planned,false
RADAR-V03-SAF-1054,flaky_nondeterministic,D4,planned,false
RADAR-V03-SAF-1055,flaky_nondeterministic,D5,planned,false
RADAR-V03-SAF-1056,flaky_nondeterministic,D1,planned,false
RADAR-V03-SAF-1057,flaky_nondeterministic,D2,planned,false
RADAR-V03-SAF-1058,flaky_nondeterministic,D3,planned,false
RADAR-V03-SAF-1059,flaky_nondeterministic,D4,planned,false
RADAR-V03-SAF-1060,flaky_nondeterministic,D5,planned,false
RADAR-V03-SAF-1061,flaky_nondeterministic,D1,planned,false
RADAR-V03-SAF-1062,flaky_nondeterministic,D2,planned,false
RADAR-V03-SAF-1063,flaky_nondeterministic,D3,planned,false
RADAR-V03-SAF-1064,flaky_nondeterministic,D4,planned,false
RADAR-V03-SAF-1065,flaky_nondeterministic,D5,planned,false
RADAR-V03-SAF-1066,flaky_nondeterministic,D1,planned,false
RADAR-V03-SAF-1067,flaky_nondeterministic,D2,planned,false
RADAR-V03-SAF-1068,flaky_nondeterministic,D3,planned,false
RADAR-V03-SAF-1069,flaky_nondeterministic,D4,planned,false
RADAR-V03-SAF-1070,flaky_nondeterministic,D5,planned,false
RADAR-V03-SAF-1071,flaky_nondeterministic,D1,planned,false
RADAR-V03-SAF-1072,flaky_nondeterministic,D2,planned,false
RADAR-V03-SAF-1073,flaky_nondeterministic,D3,planned,false
RADAR-V03-SAF-1074,flaky_nondeterministic,D4,planned,false
RADAR-V03-SAF-1075,flaky_nondeterministic,D5,planned,false
RADAR-V03-SAF-1076,flaky_nondeterministic,D1,planned,false
RADAR-V03-SAF-1077,flaky_nondeterministic,D2,planned,false
RADAR-V03-SAF-1078,flaky_nondeterministic,D3,planned,false
RADAR-V03-SAF-1079,flaky_nondeterministic,D4,planned,false
RADAR-V03-SAF-1080,flaky_nondeterministic,D5,planned,false
RADAR-V03-SAF-1081,infrastructure_failure,D1,planned,false
RADAR-V03-SAF-1082,infrastructure_failure,D2,planned,false
RADAR-V03-SAF-1083,infrastructure_failure,D3,planned,false
RADAR-V03-SAF-1084,infrastructure_failure,D4,planned,false
RADAR-V03-SAF-1085,infrastructure_failure,D5,planned,false
RADAR-V03-SAF-1086,infrastructure_failure,D1,planned,false
RADAR-V03-SAF-1087,infrastructure_failure,D2,planned,false
RADAR-V03-SAF-1088,infrastructure_failure,D3,planned,false
RADAR-V03-SAF-1089,infrastructure_failure,D4,planned,false
RADAR-V03-SAF-1090,infrastructure_failure,D5,planned,false
RADAR-V03-SAF-1091,infrastructure_failure,D1,planned,false
RADAR-V03-SAF-1092,infrastructure_failure,D2,planned,false
RADAR-V03-SAF-1093,infrastructure_failure,D3,planned,false
RADAR-V03-SAF-1094,infrastructure_failure,D4,planned,false
RADAR-V03-SAF-1095,infrastructure_failure,D5,planned,false
RADAR-V03-SAF-1096,infrastructure_failure,D1,planned,false
RADAR-V03-SAF-1097,infrastructure_failure,D2,planned,false
RADAR-V03-SAF-1098,infrastructure_failure,D3,planned,false
RADAR-V03-SAF-1099,infrastructure_failure,D4,planned,false
RADAR-V03-SAF-1100,infrastructure_failure,D5,planned,false
RADAR-V03-SAF-1101,infrastructure_failure,D1,planned,false
RADAR-V03-SAF-1102,infrastructure_failure,D2,planned,false
RADAR-V03-SAF-1103,infrastructure_failure,D3,planned,false
RADAR-V03-SAF-1104,infrastructure_failure,D4,planned,false
RADAR-V03-SAF-1105,infrastructure_failure,D5,planned,false
RADAR-V03-SAF-1106,infrastructure_failure,D1,planned,false
RADAR-V03-SAF-1107,infrastructure_failure,D2,planned,false
RADAR-V03-SAF-1108,infrastructure_failure,D3,planned,false
RADAR-V03-SAF-1109,infrastructure_failure,D4,planned,false
RADAR-V03-SAF-1110,infrastructure_failure,D5,planned,false
RADAR-V03-SAF-1111,baseline_broken,D1,planned,false
RADAR-V03-SAF-1112,baseline_broken,D2,planned,false
RADAR-V03-SAF-1113,baseline_broken,D3,planned,false
RADAR-V03-SAF-1114,baseline_broken,D4,planned,false
RADAR-V03-SAF-1115,baseline_broken,D5,planned,false
RADAR-V03-SAF-1116,baseline_broken,D1,planned,false
RADAR-V03-SAF-1117,baseline_broken,D2,planned,false
RADAR-V03-SAF-1118,baseline_broken,D3,planned,false
RADAR-V03-SAF-1119,baseline_broken,D4,planned,false
RADAR-V03-SAF-1120,baseline_broken,D5,planned,false
RADAR-V03-SAF-1121,baseline_broken,D1,planned,false
RADAR-V03-SAF-1122,baseline_broken,D2,planned,false
RADAR-V03-SAF-1123,baseline_broken,D3,planned,false
RADAR-V03-SAF-1124,baseline_broken,D4,planned,false
RADAR-V03-SAF-1125,baseline_broken,D5,planned,false
RADAR-V03-SAF-1126,baseline_broken,D1,planned,false
RADAR-V03-SAF-1127,baseline_broken,D2,planned,false
RADAR-V03-SAF-1128,baseline_broken,D3,planned,false
RADAR-V03-SAF-1129,baseline_broken,D4,planned,false
RADAR-V03-SAF-1130,baseline_broken,D5,planned,false
RADAR-V03-SAF-1131,baseline_broken,D1,planned,false
RADAR-V03-SAF-1132,baseline_broken,D2,planned,false
RADAR-V03-SAF-1133,baseline_broken,D3,planned,false
RADAR-V03-SAF-1134,baseline_broken,D4,planned,false
RADAR-V03-SAF-1135,baseline_broken,D5,planned,false
RADAR-V03-SAF-1136,baseline_broken,D1,planned,false
RADAR-V03-SAF-1137,baseline_broken,D2,planned,false
RADAR-V03-SAF-1138,baseline_broken,D3,planned,false
RADAR-V03-SAF-1139,baseline_broken,D4,planned,false
RADAR-V03-SAF-1140,baseline_broken,D5,planned,false
RADAR-V03-SAF-1141,duplicate,D1,planned,false
RADAR-V03-SAF-1142,duplicate,D2,planned,false
RADAR-V03-SAF-1143,duplicate,D3,planned,false
RADAR-V03-SAF-1144,duplicate,D4,planned,false
RADAR-V03-SAF-1145,duplicate,D5,planned,false
RADAR-V03-SAF-1146,duplicate,D1,planned,false
RADAR-V03-SAF-1147,duplicate,D2,planned,false
RADAR-V03-SAF-1148,duplicate,D3,planned,false
RADAR-V03-SAF-1149,duplicate,D4,planned,false
RADAR-V03-SAF-1150,duplicate,D5,planned,false
RADAR-V03-SAF-1151,duplicate,D1,planned,false
RADAR-V03-SAF-1152,duplicate,D2,planned,false
RADAR-V03-SAF-1153,duplicate,D3,planned,false
RADAR-V03-SAF-1154,duplicate,D4,planned,false
RADAR-V03-SAF-1155,duplicate,D5,planned,false
RADAR-V03-SAF-1156,duplicate,D1,planned,false
RADAR-V03-SAF-1157,duplicate,D2,planned,false
RADAR-V03-SAF-1158,duplicate,D3,planned,false
RADAR-V03-SAF-1159,duplicate,D4,planned,false
RADAR-V03-SAF-1160,duplicate,D5,planned,false
RADAR-V03-SAF-1161,duplicate,D1,planned,false
RADAR-V03-SAF-1162,duplicate,D2,planned,false
RADAR-V03-SAF-1163,duplicate,D3,planned,false
RADAR-V03-SAF-1164,duplicate,D4,planned,false
RADAR-V03-SAF-1165,duplicate,D5,planned,false
RADAR-V03-SAF-1166,artifact_missing,D1,planned,false
RADAR-V03-SAF-1167,artifact_missing,D2,planned,false
RADAR-V03-SAF-1168,artifact_missing,D3,planned,false
RADAR-V03-SAF-1169,artifact_missing,D4,planned,false
RADAR-V03-SAF-1170,artifact_missing,D5,planned,false
RADAR-V03-SAF-1171,artifact_missing,D1,planned,false
RADAR-V03-SAF-1172,artifact_missing,D2,planned,false
RADAR-V03-SAF-1173,artifact_missing,D3,planned,false
RADAR-V03-SAF-1174,artifact_missing,D4,planned,false
RADAR-V03-SAF-1175,artifact_missing,D5,planned,false
RADAR-V03-SAF-1176,artifact_missing,D1,planned,false
RADAR-V03-SAF-1177,artifact_missing,D2,planned,false
RADAR-V03-SAF-1178,artifact_missing,D3,planned,false
RADAR-V03-SAF-1179,artifact_missing,D4,planned,false
RADAR-V03-SAF-1180,artifact_missing,D5,planned,false
RADAR-V03-SAF-1181,artifact_missing,D1,planned,false
RADAR-V03-SAF-1182,artifact_missing,D2,planned,false
RADAR-V03-SAF-1183,artifact_missing,D3,planned,false
RADAR-V03-SAF-1184,artifact_missing,D4,planned,false
RADAR-V03-SAF-1185,artifact_missing,D5,planned,false
RADAR-V03-SAF-1186,artifact_missing,D1,planned,false
RADAR-V03-SAF-1187,artifact_missing,D2,planned,false
RADAR-V03-SAF-1188,artifact_missing,D3,planned,false
RADAR-V03-SAF-1189,artifact_missing,D4,planned,false
RADAR-V03-SAF-1190,artifact_missing,D5,planned,false
RADAR-V03-SAF-1191,resolver_confounded,D1,planned,false
RADAR-V03-SAF-1192,resolver_confounded,D2,planned,false
RADAR-V03-SAF-1193,resolver_confounded,D3,planned,false
RADAR-V03-SAF-1194,resolver_confounded,D4,planned,false
RADAR-V03-SAF-1195,resolver_confounded,D5,planned,false
RADAR-V03-SAF-1196,resolver_confounded,D1,planned,false
RADAR-V03-SAF-1197,resolver_confounded,D2,planned,false
RADAR-V03-SAF-1198,resolver_confounded,D3,planned,false
RADAR-V03-SAF-1199,resolver_confounded,D4,planned,false
RADAR-V03-SAF-1200,resolver_confounded,D5,planned,false
RADAR-V03-SAF-1201,resolver_confounded,D1,planned,false
RADAR-V03-SAF-1202,resolver_confounded,D2,planned,false
RADAR-V03-SAF-1203,resolver_confounded,D3,planned,false
RADAR-V03-SAF-1204,resolver_confounded,D4,planned,false
RADAR-V03-SAF-1205,resolver_confounded,D5,planned,false
RADAR-V03-SAF-1206,resolver_confounded,D1,planned,false
RADAR-V03-SAF-1207,resolver_confounded,D2,planned,false
RADAR-V03-SAF-1208,resolver_confounded,D3,planned,false
RADAR-V03-SAF-1209,resolver_confounded,D4,planned,false
RADAR-V03-SAF-1210,resolver_confounded,D5,planned,false
RADAR-V03-SAF-1211,resolver_confounded,D1,planned,false
RADAR-V03-SAF-1212,resolver_confounded,D2,planned,false
RADAR-V03-SAF-1213,resolver_confounded,D3,planned,false
RADAR-V03-SAF-1214,resolver_confounded,D4,planned,false
RADAR-V03-SAF-1215,resolver_confounded,D5,planned,false
RADAR-V03-SAF-1216,unsafe_to_attribute,D1,planned,false
RADAR-V03-SAF-1217,unsafe_to_attribute,D2,planned,false
RADAR-V03-SAF-1218,unsafe_to_attribute,D3,planned,false
RADAR-V03-SAF-1219,unsafe_to_attribute,D4,planned,false
RADAR-V03-SAF-1220,unsafe_to_attribute,D5,planned,false
RADAR-V03-SAF-1221,unsafe_to_attribute,D1,planned,false
RADAR-V03-SAF-1222,unsafe_to_attribute,D2,planned,false
RADAR-V03-SAF-1223,unsafe_to_attribute,D3,planned,false
RADAR-V03-SAF-1224,unsafe_to_attribute,D4,planned,false
RADAR-V03-SAF-1225,unsafe_to_attribute,D5,planned,false
RADAR-V03-SAF-1226,unsafe_to_attribute,D1,planned,false
RADAR-V03-SAF-1227,unsafe_to_attribute,D2,planned,false
RADAR-V03-SAF-1228,unsafe_to_attribute,D3,planned,false
RADAR-V03-SAF-1229,unsafe_to_attribute,D4,planned,false
RADAR-V03-SAF-1230,unsafe_to_attribute,D5,planned,false
RADAR-V03-SAF-1231,unsafe_to_attribute,D1,planned,false
RADAR-V03-SAF-1232,unsafe_to_attribute,D2,planned,false
RADAR-V03-SAF-1233,unsafe_to_attribute,D3,planned,false
RADAR-V03-SAF-1234,unsafe_to_attribute,D4,planned,false
RADAR-V03-SAF-1235,unsafe_to_attribute,D5,planned,false
RADAR-V03-SAF-1236,unsafe_to_attribute,D1,planned,false
RADAR-V03-SAF-1237,unsafe_to_attribute,D2,planned,false
RADAR-V03-SAF-1238,unsafe_to_attribute,D3,planned,false
RADAR-V03-SAF-1239,unsafe_to_attribute,D4,planned,false
RADAR-V03-SAF-1240,unsafe_to_attribute,D5,planned,false
RADAR-V03-SAF-1241,unsafe_to_attribute,D1,planned,false
RADAR-V03-SAF-1242,unsafe_to_attribute,D2,planned,false
RADAR-V03-SAF-1243,unsafe_to_attribute,D3,planned,false
RADAR-V03-SAF-1244,unsafe_to_attribute,D4,planned,false
RADAR-V03-SAF-1245,unsafe_to_attribute,D5,planned,false
RADAR-V03-SAF-1246,unsafe_to_attribute,D1,planned,false
RADAR-V03-SAF-1247,unsafe_to_attribute,D2,planned,false
RADAR-V03-SAF-1248,unsafe_to_attribute,D3,planned,false
RADAR-V03-SAF-1249,unsafe_to_attribute,D4,planned,false
RADAR-V03-SAF-1250,unsafe_to_attribute,D5,planned,false
RADAR-V03-SAF-1251,counterfactual_variant,D1,planned,true
RADAR-V03-SAF-1252,counterfactual_variant,D2,planned,true
RADAR-V03-SAF-1253,counterfactual_variant,D3,planned,true
RADAR-V03-SAF-1254,counterfactual_variant,D4,planned,true
RADAR-V03-SAF-1255,counterfactual_variant,D5,planned,true
RADAR-V03-SAF-1256,counterfactual_variant,D1,planned,true
RADAR-V03-SAF-1257,counterfactual_variant,D2,planned,true
RADAR-V03-SAF-1258,counterfactual_variant,D3,planned,true
RADAR-V03-SAF-1259,counterfactual_variant,D4,planned,true
RADAR-V03-SAF-1260,counterfactual_variant,D5,planned,true
RADAR-V03-SAF-1261,counterfactual_variant,D1,planned,true
RADAR-V03-SAF-1262,counterfactual_variant,D2,planned,true
RADAR-V03-SAF-1263,counterfactual_variant,D3,planned,true
RADAR-V03-SAF-1264,counterfactual_variant,D4,planned,true
RADAR-V03-SAF-1265,counterfactual_variant,D5,planned,true
RADAR-V03-SAF-1266,counterfactual_variant,D1,planned,true
RADAR-V03-SAF-1267,counterfactual_variant,D2,planned,true
RADAR-V03-SAF-1268,counterfactual_variant,D3,planned,true
RADAR-V03-SAF-1269,counterfactual_variant,D4,planned,true
RADAR-V03-SAF-1270,counterfactual_variant,D5,planned,true
RADAR-V03-SAF-1271,counterfactual_variant,D1,planned,true
RADAR-V03-SAF-1272,counterfactual_variant,D2,planned,true
RADAR-V03-SAF-1273,counterfactual_variant,D3,planned,true
RADAR-V03-SAF-1274,counterfactual_variant,D4,planned,true
RADAR-V03-SAF-1275,counterfactual_variant,D5,planned,true
RADAR-V03-SAF-1276,counterfactual_variant,D1,planned,true
RADAR-V03-SAF-1277,counterfactual_variant,D2,planned,true
RADAR-V03-SAF-1278,counterfactual_variant,D3,planned,true
RADAR-V03-SAF-1279,counterfactual_variant,D4,planned,true
RADAR-V03-SAF-1280,counterfactual_variant,D5,planned,true
RADAR-V03-SAF-1281,counterfactual_variant,D1,planned,true
RADAR-V03-SAF-1282,counterfactual_variant,D2,planned,true
RADAR-V03-SAF-1283,counterfactual_variant,D3,planned,true
RADAR-V03-SAF-1284,counterfactual_variant,D4,planned,true
RADAR-V03-SAF-1285,counterfactual_variant,D5,planned,true
RADAR-V03-SAF-1286,counterfactual_variant,D1,planned,true
RADAR-V03-SAF-1287,counterfactual_variant,D2,planned,true
RADAR-V03-SAF-1288,counterfactual_variant,D3,planned,true
RADAR-V03-SAF-1289,counterfactual_variant,D4,planned,true
RADAR-V03-SAF-1290,counterfactual_variant,D5,planned,true
RADAR-V03-SAF-1291,counterfactual_variant,D1,planned,true
RADAR-V03-SAF-1292,counterfactual_variant,D2,planned,true
RADAR-V03-SAF-1293,counterfactual_variant,D3,planned,true
RADAR-V03-SAF-1294,counterfactual_variant,D4,planned,true
RADAR-V03-SAF-1295,counterfactual_variant,D5,planned,true
RADAR-V03-SAF-1296,counterfactual_variant,D1,planned,true
RADAR-V03-SAF-1297,counterfactual_variant,D2,planned,true
RADAR-V03-SAF-1298,counterfactual_variant,D3,planned,true
RADAR-V03-SAF-1299,counterfactual_variant,D4,planned,true
RADAR-V03-SAF-1300,counterfactual_variant,D5,planned,true
