case_id,candidate_category,difficulty,admission_state,counterfactual
RADAR-V03-GOL-0043,downstream_incompatibility,D3,planned,false
RADAR-V03-GOL-0044,downstream_incompatibility,D4,planned,false
RADAR-V03-GOL-0045,downstream_incompatibility,D5,planned,false
RADAR-V03-GOL-0046,downstream_incompatibility,D1,planned,false
RADAR-V03-GOL-0047,downstream_incompatibility,D2,planned,false
RADAR-V03-GOL-0048,downstream_incompatibility,D3,planned,false
RADAR-V03-GOL-0049,downstream_incompatibility,D4,planned,false
RADAR-V03-GOL-0050,downstream_incompatibility,D5,planned,false
RADAR-V03-GOL-0051,downstream_incompatibility,D1,planned,false
RADAR-V03-GOL-0052,downstream_incompatibility,D2,planned,false
RADAR-V03-GOL-0053,downstream_incompatibility,D3,planned,false
RADAR-V03-GOL-0054,downstream_incompatibility,D4,planned,false
RADAR-V03-GOL-0055,downstream_incompatibility,D5,planned,false
RADAR-V03-GOL-0056,downstream_incompatibility,D1,planned,false
RADAR-V03-GOL-0057,downstream_incompatibility,D2,planned,false
RADAR-V03-GOL-0058,downstream_incompatibility,D3,planned,false
RADAR-V03-GOL-0059,downstream_incompatibility,D4,planned,false
RADAR-V03-GOL-0060,downstream_incompatibility,D5,planned,false
RADAR-V03-GOL-0061,dependency_transitive_failure,D1,planned,false
RADAR-V03-GOL-0062,dependency_transitive_failure,D2,planned,false
RADAR-V03-GOL-0063,dependency_transitive_failure,D3,planned,false
RADAR-V03-GOL-0064,dependency_transitive_failure,D4,planned,false
RADAR-V03-GOL-0065,dependency_transitive_failure,D5,planned,false
RADAR-V03-GOL-0066,dependency_transitive_failure,D1,planned,false
RADAR-V03-GOL-0067,dependency_transitive_failure,D2,planned,false
RADAR-V03-GOL-0068,dependency_transitive_failure,D3,planned,false
RADAR-V03-GOL-0069,dependency_transitive_failure,D4,planned,false
RADAR-V03-GOL-0070,dependency_transitive_failure,D5,planned,false
RADAR-V03-GOL-0071,dependency_transitive_failure,D1,planned,false
RADAR-V03-GOL-0072,dependency_transitive_failure,D2,planned,false
RADAR-V03-GOL-0073,dependency_transitive_failure,D3,planned,false
RADAR-V03-GOL-0074,dependency_transitive_failure,D4,planned,false
RADAR-V03-GOL-0075,dependency_transitive_failure,D5,planned,false
RADAR-V03-GOL-0076,dependency_transitive_failure,D1,planned,false
RADAR-V03-GOL-0077,dependency_transitive_failure,D2,planned,false
RADAR-V03-GOL-0078,dependency_transitive_failure,D3,planned,false
RADAR-V03-GOL-0079,dependency_transitive_failure,D4,planned,false
RADAR-V03-GOL-0080,dependency_transitive_failure,D5,planned,false
RADAR-V03-GOL-0081,packaging_build_failure,D1,planned,false
RADAR-V03-GOL-0082,packaging_build_failure,D2,planned,false
RADAR-V03-GOL-0083,packaging_build_failure,D3,planned,false
RADAR-V03-GOL-0084,packaging_build_failure,D4,planned,false
RADAR-V03-GOL-0085,packaging_build_failure,D5,planned,false
RADAR-V03-GOL-0086,packaging_build_failure,D1,planned,false
RADAR-V03-GOL-0087,packaging_build_failure,D2,planned,false
RADAR-V03-GOL-0088,packaging_build_failure,D3,planned,false
RADAR-V03-GOL-0089,packaging_build_failure,D4,planned,false
RADAR-V03-GOL-0090,packaging_build_failure,D5,planned,false
RADAR-V03-GOL-0091,packaging_build_failure,D1,planned,false
RADAR-V03-GOL-0092,packaging_build_failure,D2,planned,false
RADAR-V03-GOL-0093,packaging_build_failure,D3,planned,false
RADAR-V03-GOL-0094,packaging_build_failure,D4,planned,false
RADAR-V03-GOL-0095,packaging_build_failure,D5,planned,false
RADAR-V03-GOL-0096,resolver_failure,D1,planned,false
RADAR-V03-GOL-0097,resolver_failure,D2,planned,false
RADAR-V03-GOL-0098,resolver_failure,D3,planned,false
RADAR-V03-GOL-0099,resolver_failure,D4,planned,false
RADAR-V03-GOL-0100,resolver_failure,D5,planned,false
RADAR-V03-GOL-0101,resolver_failure,D1,planned,false
RADAR-V03-GOL-0102,resolver_failure,D2,planned,false
RADAR-V03-GOL-0103,resolver_failure,D3,planned,false
RADAR-V03-GOL-0104,resolver_failure,D4,planned,false
RADAR-V03-GOL-0105,resolver_failure,D5,planned,false
RADAR-V03-GOL-0106,resolver_failure,D1,planned,false
RADAR-V03-GOL-0107,resolver_failure,D2,planned,false
RADAR-V03-GOL-0108,resolver_failure,D3,planned,false
RADAR-V03-GOL-0109,resolver_failure,D4,planned,false
RADAR-V03-GOL-0110,resolver_failure,D5,planned,false
RADAR-V03-GOL-0111,cross_repo_system_failure,D1,planned,false
RADAR-V03-GOL-0112,cross_repo_system_failure,D2,planned,false
RADAR-V03-GOL-0113,cross_repo_system_failure,D3,planned,false
RADAR-V03-GOL-0114,cross_repo_system_failure,D4,planned,false
RADAR-V03-GOL-0115,cross_repo_system_failure,D5,planned,false
RADAR-V03-GOL-0116,cross_repo_system_failure,D1,planned,false
RADAR-V03-GOL-0117,cross_repo_system_failure,D2,planned,false
RADAR-V03-GOL-0118,cross_repo_system_failure,D3,planned,false
RADAR-V03-GOL-0119,cross_repo_system_failure,D4,planned,false
RADAR-V03-GOL-0120,cross_repo_system_failure,D5,planned,false
